Name;RSSFeed;EpNumber;SeasonNumber;EpNumberTransform;SeasonNumberTransform;Cutoff;Filter;TitleTransform;Mp3Link;Mp3Transform;Directory
Welcome To Night Vale;http://feeds.nightvalepresents.com/welcometonightvalepodcast;$true;$false;($_.Title -split " - ")[0];$null;;$_.Title -match "^{1,3}[0-9]";;content.url;;F:\Podcasts\Welcome To Night Vale
Petrified;http://feeds.soundcloud.com/users/soundcloud:users:552896157/sounds.rss;$false;$false;;;;;;enclosure.url;;F:\Podcasts\Petrified
Archive 81;http://archive81.libsyn.com/rss;$true;;;;;$_.Title -match "^{1,3}[0-9]";$title[0];enclosure.url;($link -split "\?")[0];F:\Podcasts\Archive 81
Slow Radio;https://podcasts.files.bbci.co.uk/p05k5bq0.rss;$false;$false;;;;;;enclosure.url;;F:\Podcasts\Slow Radio
Music Planet Road Trip;https://podcasts.files.bbci.co.uk/p02nrw3w.rss;$false;$false;;;;;;enclosure.url;;F:\Podcasts\Music Planet
BBC Introducing;https://podcasts.files.bbci.co.uk/p02nrw4q.rss;$false;$false;;;;;;enclosure.url;;F:\Podcasts\BBC Introducing Mixtape
Within the Wires;http://feeds.nightvalepresents.com/withinthewires;$false;$false;;;;$_.Title -match "^Season";($title -split ": ")[1];enclosure.url;;F:\Podcasts\Within the Wires
Old Gods of Appalachia;http://www.oldgodsofappalachia.com/feed;$false;$false;;;;;$title[0];enclosure.url;if ($link -notmatch .mp3$") {$link -replace "m4a","mp3"} else {$link};F:\Podcasts\Old Gods of Appalachia
Blood & Syrup;https://feeds.megaphone.fm/bloodandsyrup;$true;$true;$_.Episode;$_.Season;101;$_.EpisodeType -eq "full";$("$($_.Season)$($_.Episode) - $(($_.Title -split ` - `")[1])");enclosure.url;;F:\Podcasts\Blood & Syrup
